0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192
0,962.4002,975.29364,,,,1040.0573,,,,,,,,1248.4867,1326.3679,1355.9855,,,,,,,1028.8463,1047.6558,,,,,,,1286.5736,1286.585,843.5181,858.7852,921.7907,,,,1000.0661,996.7701,1045.7881,1069.2238,1100.4678,,,,1212.9976,1277.116,824.7795,835.42706,850.8513,918.49005,,,964.9152,984.76294,1036.4099,1086.4285,1140.1439,1121.5272,1142.1682,1258.3591,1226.7438,1246.9275,801.6927,811.3055,818.8496,842.18604,862.2515,927.8398,,,1017.9529,1091.4535,1148.3751,1140.3586,1188.183,1134.2664,993.34814,982.11346,785.5481,786.6065,795.15826,821.33923,835.6139,871.3451,937.0379,944.8038,995.7456,1055.7153,1027.2341,1039.1234,1088.2036,1054.9398,1051.4833,981.78595,765.2821,777.5642,779.58496,802.758,810.94214,841.29755,868.4739,914.3118,957.55084,1010.371,1079.8226,1119.8922,1042.8984,1067.8628,975.0516,930.4408,746.85126,750.91693,755.80994,777.8298,785.13635,812.09015,832.6945,870.6241,918.62823,968.08826,1030.194,1088.0034,1079.0055,1045.9365,944.3093,894.5539,707.0062,698.6627,706.793,737.6315,761.8369,766.6616,799.82355,828.7766,874.4806,920.3965,973.2626,1032.0896,1029.1776,966.7162,953.96094,984.4732,693.03253,681.6537,676.923,692.8487,718.27576,742.79315,764.451,796.4901,826.2378,880.83624,922.9909,967.8589,1014.1853,1003.38873,1014.2784,996.05145,655.9275,655.72516,661.8501,665.86774,681.54596,704.2335,719.77515,743.43756,770.7508,818.1833,859.99335,903.99664,943.1655,981.2406,983.6207,947.5207,629.1288,645.55414,645.3352,654.791,655.44495,673.46515,693.2776,708.31525,727.4537,771.8755,805.95087,841.84216,873.3371,900.06824,936.95575,942.44946
1,993.0022,1003.78094,,,,1055.7283,,,,,,,,1288.5521,1316.4371,1340.8802,,,,,,,1048.9387,1060.8468,,,,,,,1309.0424,1315.9243,889.4864,904.1497,967.1436,,,,1025.1388,1016.47833,1045.5934,1073.9486,1111.0833,,,,1263.1718,1268.5852,880.20294,888.7155,899.91486,965.15845,,,994.3477,1019.6367,1072.8741,1092.1377,1147.4774,1129.1577,1151.9371,1227.4629,1196.0195,1215.1838,863.557,870.07263,874.53705,894.23175,902.869,974.52716,,,1051.9419,1066.431,1127.5586,1109.6802,1155.7499,1101.7181,963.98926,956.2851,848.5954,849.1953,853.26166,871.88214,877.2027,904.83154,973.8143,979.4033,1033.2391,1091.9476,994.53455,1006.70264,1055.686,1022.1492,1024.6902,958.1596,824.14386,837.20856,831.7013,845.75073,847.35223,877.58325,904.8594,952.0917,997.4483,1046.2551,1111.3593,1085.9353,1014.1452,1042.0215,950.73785,906.7414,798.2857,802.4224,797.2801,811.4072,811.49445,846.15125,866.9023,907.13965,957.0761,1008.52057,1071.0177,1117.6316,1045.869,1017.2765,917.06384,869.1169,749.9012,741.8638,743.3776,770.4547,793.6645,796.65106,830.9669,861.002,909.2786,959.19116,1013.27527,1067.7617,993.41406,931.5869,925.3563,954.9935,735.9183,729.2788,720.5321,729.7311,751.4694,773.5023,795.42175,828.1422,861.1298,919.3744,961.81836,1004.11224,1049.7546,974.5295,985.85114,968.7965,698.03613,707.4173,710.0341,704.3707,714.78845,734.76044,749.7219,773.4727,803.22485,852.50604,894.67914,939.0643,979.52405,1005.045,955.1226,923.2001,660.4369,687.2042,685.9446,690.59564,685.0225,699.74744,717.4423,732.1267,753.4543,801.79486,838.3284,876.3427,911.42926,941.895,945.9143,915.1076
2,992.2558,987.9585,,,,990.8955,,,,,,,,1315.2405,1329.4915,1350.7412,,,,,,,985.96686,1010.00104,,,,,,,1328.17,1336.4694,886.44324,878.485,936.39404,,,,974.2851,985.96686,1035.484,1069.3263,1113.0765,,,,1331.0289,1290.9985,870.21405,863.30164,865.4854,918.725,,,956.6963,996.4508,1056.5673,1109.1508,1174.1241,1160.8612,1197.9124,1248.2283,1216.4746,1235.9584,835.7145,843.5181,835.58514,852.6629,872.0517,945.9361,,,1054.8373,1088.5475,1151.0328,1132.5879,1179.6543,1122.19,980.28,969.77246,814.32623,812.67114,820.93414,841.6272,859.2828,893.02893,965.1449,981.0395,1045.4377,1114.955,1020.07855,1030.8545,1077.704,1042.9658,1040.336,973.551,777.26904,790.6738,797.06067,821.09326,832.21954,865.9531,900.63983,956.75055,1010.14636,1070.0569,1149.7025,1110.5123,1029.58,1057.3151,965.547,921.42645,744.17163,757.5825,767.4771,793.86957,809.82263,843.4322,869.23804,914.71344,970.5962,1028.8463,1098.5118,1162.8743,1067.249,1033.8088,932.86127,883.6352,694.27295,697.60815,716.92694,755.4523,788.54565,799.7505,838.6298,873.90186,926.367,980.5166,1040.7859,1106.4369,1016.5432,952.86444,941.3601,974.3338,673.2798,675.00946,683.66943,712.58716,746.8213,776.41284,804.46436,842.84503,880.3577,942.29126,989.5076,1038.2996,1078.8684,998.62634,1009.424,991.175,640.6871,649.7402,669.1356,684.6843,707.2803,735.4522,756.73364,787.41473,821.4405,874.56525,922.65985,974.68854,1021.2009,1028.7754,977.664,941.6805,622.0656,641.00037,649.0378,668.501,674.31464,698.0973,724.1164,744.17163,769.2108,825.3427,869.6624,913.21747,952.7987,987.29034,965.48206,936.4985
3,967.02216,979.5912,,,,1066.9532,,,,,,,,1320.5905,1346.8394,1367.4014,,,,,,,1065.2968,1089.8434,,,,,,,1344.1167,1348.8268,851.32214,871.1472,928.3488,,,,1042.5803,1050.9845,1105.9214,1133.9094,1166.8353,,,,1333.5315,1304.2152,846.0654,858.03156,870.3837,928.84393,,,1013.2357,1048.2649,1122.8739,1185.9066,1243.8052,1224.5529,1247.463,1264.521,1230.9885,1251.1927,833.50024,840.4087,846.9377,865.20197,881.399,962.4679,,,1109.1759,1104.1388,1166.4071,1147.2363,1194.4508,1138.6768,994.139,985.45734,817.73413,820.7894,827.08923,849.9664,858.8847,905.3601,994.12134,1019.96545,1088.27,1164.8745,1033.07,1045.6663,1093.0221,1055.8896,1054.6686,986.7046,788.0023,801.9263,807.0141,828.7766,846.20844,890.15894,925.8988,996.98285,1048.537,1119.0435,1198.3191,1124.7684,1044.4507,1069.8414,978.38306,933.49884,762.2084,768.27747,774.2414,797.54333,813.7602,861.783,891.0694,938.8727,1003.42303,1064.1659,1134.6156,1176.8871,1081.8848,1048.1671,946.107,896.3604,708.40656,699.68634,713.60455,750.18506,785.84216,811.2764,858.30176,897.4173,953.8043,1008.18994,1062.7643,1129.7415,1032.1298,966.6512,954.08997,984.7356,685.09937,676.07446,678.06415,700.52625,736.4895,774.6404,814.4714,858.72833,900.13794,961.8996,1005.07947,1054.0234,1092.5398,1008.09607,1018.2101,1000.0803,647.9448,649.6153,660.65436,670.7911,696.9506,734.88074,759.99335,797.00214,834.3345,894.9028,940.6237,991.00226,1034.936,1039.4602,987.1643,951.1243,623.4389,639.9193,640.87506,656.39435,664.7205,692.2818,724.28265,755.6162,784.48914,846.1798,890.201,934.6394,976.46295,1001.8978,975.7696,945.27216
4,982.7681,990.1617,,,,1048.6666,,,,,,,,1306.4808,1361.5737,1386.091,,,,,,,1059.301,1090.5535,,,,,,,1358.5378,1366.0732,891.86743,897.3754,954.633,,,,1057.6122,1060.5892,1120.3794,1154.2427,1189.8413,,,,1295.0626,1319.4417,884.18256,890.0609,897.59875,961.06036,,,1034.6752,1067.1586,1133.1906,1196.5477,1254.9064,1226.179,1241.2029,1280.6526,1248.7343,1266.843,860.6327,868.9409,877.5269,898.3525,923.92847,997.64777,,,1115.7559,1122.7472,1183.916,1162.6625,1208.0929,1153.7073,1010.1547,998.2961,842.87366,847.86676,859.26855,888.8417,909.0287,948.1036,1021.47687,1035.9406,1090.1477,1153.3601,1048.3024,1059.8965,1108.4324,1074.8295,1068.2039,998.49426,816.7341,839.90674,846.59454,877.4141,886.44324,918.31036,950.14624,995.54596,1038.1954,1095.378,1170.3861,1143.5148,1065.545,1085.317,988.08405,944.1169,800.46625,808.9208,820.6881,851.86426,861.0872,887.27106,908.6677,945.5678,988.7866,1038.7555,1103.757,1163.997,1097.1594,1060.3724,954.4772,905.11096,756.7634,751.4694,767.1806,804.4206,829.8721,833.93176,864.56396,888.3089,931.73,975.03815,1027.943,1087.432,1045.5988,978.3177,964.50836,994.33673,739.64355,731.05725,729.2185,748.302,773.7832,796.6072,815.3419,838.44324,867.04395,923.19775,965.96893,1015.93823,1065.104,1014.5447,1022.6839,1003.38873,693.0632,696.06354,704.67554,710.5206,725.1589,744.9654,752.52924,771.72754,797.1338,846.3228,892.7771,944.5718,989.4542,1031.3969,992.88696,953.57385,655.0557,673.2952,673.7741,685.37604,685.09937,697.5776,709.882,722.7257,739.6735,791.4512,833.75916,879.0484,916.8585,945.47235,977.5333,945.9785
5,1043.6199,1053.235,,,,1149.469,,,,,,,,1438.2391,1364.819,1388.0138,,,,,,,1152.2072,1171.3457,,,,,,,1358.3297,1360.8363,934.50226,935.32495,982.1519,,,,1095.3906,1103.4296,1175.8691,1210.2783,1262.3412,,,,1374.6362,1317.3164,917.5362,918.0754,921.5423,985.9401,,,1046.2292,1089.7672,1168.0643,1231.3539,1312.2627,1304.9059,1350.5072,1271.127,1240.5013,1262.4178,909.47296,891.02734,866.33563,895.0705,918.43475,996.6237,,,1144.1655,1106.631,1166.5486,1147.8688,1198.2311,1144.0061,1001.60156,989.596,885.6712,866.33563,847.0377,867.5537,881.37085,919.1672,1012.7739,1051.2692,1136.6829,1206.805,1032.0626,1045.6663,1095.5037,1061.4604,1058.062,988.6098,855.08545,853.00507,838.2997,864.23785,864.0393,898.1431,951.72455,1010.46344,1086.6444,1152.2194,1204.6597,1126.4423,1047.4233,1071.6852,978.38306,933.8177,820.9115,815.9511,814.45685,831.7733,831.94604,869.01166,916.0976,966.67114,1030.8217,1097.2867,1177.5519,1177.8092,1081.2675,1046.815,945.5932,895.8619,767.68463,747.315,757.7016,793.7963,813.9779,819.7763,879.1752,932.07324,985.15094,1057.5864,1121.7517,1132.5879,1027.904,964.70306,953.4448,984.1453,755.34796,736.1288,721.5157,743.3776,768.6627,804.6539,834.0756,903.9827,938.14716,1020.14954,1072.8868,1114.2605,1086.004,998.2961,1009.3576,994.7983,716.4418,715.86554,721.34924,728.2985,737.8267,767.21027,781.3093,843.0599,891.1534,947.57214,998.2858,1051.4244,1078.9369,1029.1106,981.19653,944.6944,688.4171,707.2955,713.2857,717.6696,719.5026,729.48987,757.7165,792.43353,816.06714,881.8913,927.60583,982.594,1018.38715,1024.1549,968.34125,938.47986
6,1071.9781,1090.4647,,,,1193.4915,,,,,,,,1440.7166,1362.2374,1385.6473,,,,,,,1164.57,1182.4584,,,,,,,1360.1727,1362.3849,939.8031,947.61304,1015.4112,,,,1113.3146,1110.0546,1171.5278,1219.1335,1256.7246,,,,1376.7783,1317.756,916.9968,918.0892,935.7088,1009.7632,,,1066.1958,1097.9435,1156.0312,1214.5632,1276.3036,1270.6747,1311.9034,1274.9786,1243.2439,1264.3035,882.2007,894.9447,898.10126,922.715,943.38403,1015.6089,,,1122.2505,1108.0858,1170.3685,1150.9625,1201.0154,1147.8688,1004.3161,992.2942,861.1724,859.26855,873.3512,895.9928,906.5976,943.2475,1014.96313,1024.6666,1075.061,1152.9554,1036.0946,1049.1141,1098.4019,1064.5913,1060.7124,990.5827,825.5737,838.9455,839.9354,864.2662,880.9347,910.3473,932.77344,980.83844,1028.6368,1083.682,1160.2383,1129.1643,1049.7908,1074.214,978.1216,932.92505,792.9758,796.5779,803.2686,829.1514,840.8388,871.38745,889.7246,927.826,981.9911,1031.5668,1096.6549,1154.8922,1083.1885,1046.6122,944.6944,895.1766,733.5568,723.013,737.73663,770.04016,798.2598,826.6419,858.60034,888.7295,933.9947,973.599,1025.3092,1077.7943,1029.1106,964.50836,952.02637,982.31,703.5474,694.1199,699.4878,717.9727,759.2197,784.6068,808.2369,843.47516,876.9349,924.5901,964.80707,1005.60925,1046.3849,999.2871,1009.889,994.46857,655.4605,656.0831,671.8116,690.6416,710.76385,736.2039,753.88684,767.8032,802.37866,853.7747,895.6435,941.29364,981.9911,1019.75507,981.13104,944.37354,630.48224,645.63226,652.28253,673.38794,675.1484,697.8069,716.65405,723.63275,743.1978,796.8705,833.84546,880.39996,916.58185,948.02185,968.6014,939.1195
7,1082.0398,1084.6742,,,,1177.092,,,,,,,,1352.937,1380.6205,1407.5573,,,,,,,1168.0278,1180.0673,,,,,,,1379.1426,1384.6862,933.9124,951.9965,1014.87085,,,,1114.8423,1110.3557,1147.3052,1158.0381,1175.6996,,,,1302.9801,1337.0574,904.4559,914.4642,917.2596,986.63544,,,1044.4641,1047.3057,1098.537,1148.0677,1203.7542,1182.5066,1196.7273,1297.4933,1265.3916,1283.6377,873.32294,878.7386,880.794,899.52435,924.94836,994.2811,,,1064.5643,1129.5134,1189.0238,1177.1708,1224.5154,1170.3685,1025.56,1013.3465,840.76715,845.22144,840.8101,866.67566,888.6454,923.94226,997.8073,993.7084,1048.3168,1090.1731,1059.4888,1072.0267,1121.4934,1087.1724,1083.1199,1012.016,811.29095,826.2378,822.5396,852.2636,847.195,884.33704,915.198,966.7656,1004.0328,1060.4089,1130.3002,1151.2439,1070.7972,1097.4354,1002.92523,956.9959,779.34906,787.13556,792.3749,817.1544,817.6907,849.538,873.01227,915.0596,959.84155,1013.3808,1068.2363,1131.2931,1105.2462,1070.7972,967.62604,917.127,716.72986,714.0296,721.68207,762.0152,795.18756,785.00397,826.3244,853.7605,904.1219,953.0162,1007.211,1074.4729,1053.1093,987.8869,975.3126,1005.509,691.6381,684.10004,684.89954,706.4428,729.26373,757.1953,780.3073,817.8356,851.70734,908.90375,952.37726,992.1758,1045.5155,1022.61707,1033.0027,1011.617,653.7318,654.2459,666.4256,669.32135,686.39014,714.66705,728.58514,758.8329,788.6191,838.55804,882.81934,924.4798,966.21204,1004.70856,998.49426,961.5256,623.23376,641.1257,636.6732,647.2107,650.17706,673.71234,695.4668,714.77325,734.95593,784.7392,819.4723,859.58124,893.39264,922.5081,959.08276,955.6392
8,997.96686,1003.94,,,,1041.0071,,,,,,,,1368.643,1405.3347,1429.1359,,,,,,,1033.3306,1054.7856,,,,,,,1406.9646,1409.4839,890.91534,895.48975,950.8675,,,,1030.9785,1018.21606,1065.5793,1102.0311,1157.9525,,,,1345.0878,1364.5239,871.2744,880.30145,888.4912,958.6626,,,993.0422,1019.1633,1083.5293,1143.0562,1191.4872,1175.2028,1210.1951,1325.3815,1292.8221,1310.3596,843.3606,845.951,860.00757,874.55115,891.86743,963.96906,,,1055.031,1134.5413,1201.9523,1204.2307,1251.6991,1197.5889,1050.9415,1036.4982,820.5,815.9801,824.86615,854.2307,858.4013,889.07996,956.3842,978.0881,1042.0864,1105.3428,1087.1724,1097.5735,1147.658,1112.5245,1107.393,1036.6327,780.79364,799.3268,801.05035,810.317,819.2406,858.37286,892.62317,936.53107,995.719,1050.9457,1122.0635,1182.5658,1100.6814,1124.2107,1031.9955,985.1948,744.4263,752.8426,747.52435,776.59,792.6241,826.6708,856.4522,893.6024,947.85834,1005.596,1073.4498,1133.1162,1137.486,1105.5231,1000.5432,947.64923,701.5185,691.1016,702.93744,743.0929,775.837,790.3951,819.8342,851.2651,898.0594,951.28925,1004.60254,1064.2816,1088.8226,1021.9487,1009.0255,1038.854,687.05066,676.491,670.621,701.88477,733.57184,763.7977,787.7379,817.1544,842.1001,908.63995,951.22125,1007.4624,1054.8889,1059.5568,1070.0463,1048.37,658.0278,662.05194,666.9369,672.3217,696.3236,720.04767,737.1958,771.68317,796.2999,840.7241,885.601,939.99457,982.4332,1031.3446,1035.5565,997.1074,634.2396,653.12415,656.1454,665.13916,671.33234,684.7458,708.7717,733.21063,755.36285,798.69836,844.878,881.4131,920.3551,954.26624,997.10254,991.8991
9,995.12,1001.805,,,,1021.00385,,,,,,,,1336.8368,1443.0187,1467.54,,,,,,,1026.2662,1044.3342,,,,,,,1383.5338,1419.3245,869.45026,872.09406,913.81323,,,,1009.67065,1000.9424,1053.4677,1078.981,1109.6906,,,,1294.0662,1384.7462,855.24207,869.6483,870.31305,932.52637,,,986.67554,1011.99524,1070.6719,1121.0408,1166.6649,1144.7076,1161.6914,1308.3578,1325.6017,1345.294,843.03125,850.3803,864.8759,861.01624,879.6117,945.8679,,,1054.5789,1125.0538,1183.6769,1240.862,1288.1549,1233.0765,1083.463,1070.5242,841.75616,845.8509,854.7863,865.4854,873.7889,902.5766,967.6025,981.18695,1032.1549,1092.6824,1125.7446,1139.0271,1188.61,1153.2145,1149.8372,1072.3,836.2605,845.79364,836.77765,861.2861,873.8877,903.3146,923.87335,953.28796,1000.8494,1045.1262,1111.5348,1181.9393,1139.2373,1165.4882,1067.1127,1019.61127,824.9528,825.93463,829.8432,837.2947,845.46466,873.32294,898.72925,939.05054,972.6165,1013.7501,1063.4845,1109.4772,1175.3981,1139.7979,1033.1371,980.6073,779.2164,763.3225,767.84766,807.0432,830.73645,833.8167,872.6309,884.0982,920.67267,958.8659,1004.3375,1060.1256,1120.5541,1055.6182,1039.6622,1072.1633,760.30566,747.86835,740.2138,756.5102,779.70294,803.63324,819.8342,840.2796,870.8362,919.4988,948.47144,992.0291,1041.3452,1084.0382,1092.6697,1081.336,708.9847,710.79425,721.1525,717.19977,733.1053,754.75165,762.4313,766.6616,801.86786,832.0468,888.18274,932.84204,971.0139,1011.12384,1013.9611,1030.519,689.69073,702.89166,698.4946,703.27295,696.9965,712.3593,720.7137,720.57745,731.22296,774.59607,813.5715,861.002,894.763,925.6647,968.6818,984.7763
